Satay,$7.95,IPOH Garden Malaysian Cuisine,$$,000000028.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/dlu3AvXCA7LGwOvdp-a8og/258s.jpg
Hainanese Chicken,$13.50,IPOH Garden Malaysian Cuisine,$$,000000029.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/TFJKlK_LB7giS3_iyYiV5A/258s.jpg
Malaysia Laksa Mee Soup,$12.95,IPOH Garden Malaysian Cuisine,$$,000000030.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/7pVe5oiv0BocVZJhoBCmGA/258s.jpg
Mango Chicken,$13.50,IPOH Garden Malaysian Cuisine,$$,000000031.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/RI_QI3k6atCPtBrO81oPdw/258s.jpg
Penang Prawn Mee Noodle Soup,$12.95,IPOH Garden Malaysian Cuisine,$$,000000032.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/yna_GUGPLPRUgb3ADh0thg/258s.jpg
Samosa,$7.50,IPOH Garden Malaysian Cuisine,$$,000000033.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/pooWzisPLUUFP_RBXzrR0Q/258s.jpg
Red Curry Chicken,$13.50,IPOH Garden Malaysian Cuisine,$$,000000034.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/ovvEBiltEZXS6T3VJ-fNbA/258s.jpg
Seafood Tom Yam Rice Noodle Soup,$12.95,IPOH Garden Malaysian Cuisine,$$,000000035.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/rhQnZihwirCDc7S5Q9raZA/258s.jpg
Butter Chicken,$9.00,Spice N Flavor,$,000000036.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/nPeffnBeVmcYqwtEL1CyJg/258s.jpg
Chicken Curry,$9.00,Spice N Flavor,$,000000037.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/2GlFU_4gDwMwJqpPll3DcQ/258s.jpg
Lamb Curry,$11.00,Spice N Flavor,$,000000038.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/iOc9HKBOF0f5mCIOFZ7Yig/258s.jpg
